Designator,Footprint,Quantity,Value,LCSC Part #
A1,Waveshare_ESP32_S3_pico,1,Waveshare_ESP32-S3_Pico,
C1,CP_Radial_D10.0mm_P5.00mm_slim_silkscreen,1,470µF,
C2,C_Rect_L10.0mm_W2.5mm_P7.50mm_MKS4,1,100nF,
D1,LED_D3.0mm,1,LED,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
"J2, J4",3_pin_jumper,2,Conn_01x03_Pin,
J3,2_pin,1,Conn_01x02_Pin,
"Q1, Q2",TO-92L_Inline,2,2N7000,
"R1, R2, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,100k,C25768
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1k,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,68k,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100k,
SW1,OmronTaster,1,ON,
SW2,OmronTaster,1,config,
U1,TPS63070_breakout,1,TPS63070,
U2,DIP-14_W7.62mm,1,HEF4093B,
U3,MAX98357A_breakout,1,MAX98357A,
U4,DS3231,1,DS3231,
