Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolderCR2032,1,CR2032,
"C1, C10, C11, C13, C16, C19, C2, C24, C27, C29, C31, C8",0402,12,100nF,C307331
C12,0402,1,10nF,C15195
"C14, C15, C17, C9",0402,4,1µF,C52923
"C18, C22, C23, C3",0603,4,10µF,C96446
"C20, C21, C30",0805,3,10µF,C15850
"C25, C26",0805,2,22µF,C45783
C28,0603,1,1nF,C1588
"C4, C6",0402,2,10pF,C32949
"C5, C7",0402,2,3p3,C1565
"D1, D2",D_SMA,2,SS24,C7420362
D3,0201,1,LED,C2286
J1,USB_C_Receptacle,1,USB_C_Receptacle_USB2.0,C709357
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
J3,3_pin_jumper,1,Conn_01x03_Pin,
J4,2_pin,1,Conn_01x02_Pin,
"L1, L2",0402,2,2n2,C412264
L3,L_Bourns_SRP7028A_7.3x6.6mm,1,2.2µH,C167218
Q1,SOT-23,1,IRLML6401,
"Q2, Q3",SOT-23,2,AO3400A,C20917
"R1, R2",0402,2,5k1,C25905
"R10, R11, R12, R13, R17, R18, R19",0402,7,10k,C25744
R14,0402,1,20k,C25765
"R15, R16",0402,2,4k7,C25900
"R20, R21, R22, R23, R28, R3",0402,6,100k,C25741
R24,0603,1,470k,C23178
R25,0603,1,150k,C22807
R26,0603,1,1k,C21190
R27,0402,1,2k2,C25879
"R4, R5, R6, R7, R8",0402,5,0,C17168
R9,0402,1,22,C25092
SW1,C720477,1,reset,C720477
SW2,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,volume_knob,
SW3,OmronTaster,1,config,C318884
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U2,SOT-23-6,1,USBLC6-2SC6,C2687116
U3,PCB_antenna,1,WiFi antenna,
U4,IC_ESP32-S3,1,ESP32-S3,C2913192
U5,1pin,1,~,
U6,SOIC-14_3.9x8.7mm_P1.27mm,1,HEF4093B,C7867
U7,VREG_TPS63070RNMR,1,TPS63070RNMR,C109322
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,DS3231MZ,C107410
U9,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
Y1,Crystal_SMD_4Pin_3.2x2.5mm,1,40 MHz,C379787
