Designator,Mid X,Mid Y,Rotation,Layer
BT1,19.5,0.0,90.0,top
C1,-19.11,-6.78,0.0,top
C10,-13.18,12.73,180.0,top
C11,-17.62,13.72,90.0,top
C12,-9.28,10.45,0.0,top
C13,-13.19,15.76,180.0,top
C14,-8.974,11.476,0.0,top
C15,-14.74,15.33,270.0,top
C16,-19.25,7.39,270.0,top
C17,-24.37,-11.447,0.0,top
C18,-16.08,15.906,270.0,top
C19,-9.66,3.41,270.0,top
C2,-7.58,-17.87,180.0,top
C20,15.37,-18.89,180.0,top
C21,19.36,-18.93,0.0,top
C22,3.6,-16.11,180.0,top
C23,1.82,-10.01,0.0,top
C24,6.77,-12.493,180.0,top
C25,9.14,-8.5,0.0,top
C26,9.15,-10.7,0.0,top
C27,9.08,-12.41,0.0,top
C28,-23.08,14.43,180.0,top
C29,-26.803,5.097,180.0,top
C3,-7.02,-19.37,0.0,top
C30,24.07,21.42,270.0,top
C31,21.9095,22.17,270.0,top
C4,-5.98,8.34,180.0,top
C5,-11.17,15.76,0.0,top
C6,-5.97,13.58,0.0,top
C7,-11.17,12.75,0.0,top
C8,-19.29,3.24,270.0,top
C9,-20.38,3.2,270.0,top
D1,-4.97,-22.38,180.0,top
D2,15.8675,-22.38,180.0,top
D3,26.0,-15.0,0.0,top
J1,-15.18,-21.32,0.0,top
J2,15.75,30.0,180.0,bottom
J3,25.5,30.0,0.0,bottom
J4,19.42,49.11,270.0,bottom
L1,-11.62,14.28,270.0,top
L2,-12.75,14.26,90.0,top
L3,-4.07,-12.53,270.0,top
Q1,10.481,-15.2525,90.0,top
Q2,8.1225,19.87,90.0,top
Q3,2.59,20.3275,0.0,top
R1,-18.62,-15.83,180.0,top
R10,-23.17,2.63,0.0,top
R11,-9.65,5.49,270.0,top
R12,-9.75,7.48,270.0,top
R13,-19.25,14.28,180.0,top
R14,-19.25,13.2,180.0,top
R15,-26.79,14.6,90.0,top
R16,-25.52,14.6,90.0,top
R17,-24.355,-10.275,180.0,top
R18,-10.23,1.49,0.0,top
R19,-10.24,0.3,180.0,top
R2,-11.24,-15.89,0.0,top
R20,10.65,20.86,90.0,top
R21,9.99,18.25,0.0,top
R22,9.43,6.08,90.0,top
R23,6.83,-13.75,180.0,top
R24,3.52,-8.32,0.0,top
R25,5.17,-10.01,0.0,top
R26,25.999,-13.626,0.0,top
R27,18.02,18.73,90.0,top
R28,20.2125,19.66,0.0,top
R3,-15.03,-7.08,180.0,top
R4,-18.1,1.26,90.0,top
R5,-17.02,1.26,90.0,top
R6,-15.59,1.27,90.0,top
R7,-14.53,1.27,90.0,top
R8,-13.48,1.28,90.0,top
R9,-8.91,9.4,180.0,top
SW1,-24.448,-3.618,90.0,top
SW2,-0.25,0.04,0.0,top
SW3,23.0,40.0,0.0,bottom
U1,-15.0,-3.44,90.0,top
U2,-14.3425,-12.38,270.0,top
U3,-13.98,18.85,0.0,top
U4,-14.48,7.355,270.0,top
U5,-25.82,2.39,0.0,top
U6,3.255,13.47,90.0,top
U7,3.415,-13.03,180.0,top
U8,-24.92,9.46,0.0,top
U9,18.9325,22.58,90.0,top
Y1,-6.02,10.95,270.0,top
